day,energy_sum
10/12/2012,7.098
10/13/2012,11.087
10/14/2012,13.223
10/15/2012,10.257
10/16/2012,9.769
10/17/2012,10.885
10/18/2012,10.751
10/19/2012,8.431
10/20/2012,17.3779999
10/21/2012,24.4900001
10/22/2012,18.885
10/23/2012,10.485
10/24/2012,15.5370001
10/25/2012,13.128
10/26/2012,15.065
10/27/2012,16.886
10/28/2012,19.6289999
10/29/2012,12.779
10/30/2012,13.961
10/31/2012,17.8220001
11/1/2012,12.209
11/2/2012,14.554
11/3/2012,14.347
11/4/2012,14.5069999
11/5/2012,15.0949999
11/6/2012,11.663
11/7/2012,13.137
11/8/2012,0.186
11/9/2012,16.722
11/10/2012,13.245
11/11/2012,10.699
11/12/2012,12.321
11/13/2012,10.264
11/14/2012,10.82
11/15/2012,9.808
11/16/2012,13.116
11/17/2012,9.77
11/18/2012,13.779
11/19/2012,10.147
11/20/2012,11.221
11/21/2012,10.637
11/22/2012,9.44
11/23/2012,10.051
11/24/2012,11.023
11/25/2012,10.545
11/26/2012,9.876
11/27/2012,10.978
11/28/2012,10.743
11/29/2012,10.771
11/30/2012,13.088
12/1/2012,12.783
12/2/2012,15.354
12/3/2012,10.167
12/4/2012,11.143
12/5/2012,11.714
12/6/2012,11.85
12/7/2012,13.2479999
12/8/2012,13.442
12/9/2012,11.3550001
12/10/2012,10.123
12/11/2012,12.859
12/12/2012,11.971
12/13/2012,10.922
12/14/2012,10.584
12/15/2012,14.257
12/16/2012,16.497
12/17/2012,12.202
12/18/2012,10.255
12/19/2012,12.2650001
12/20/2012,11.122
12/21/2012,11.712
12/22/2012,17.932
12/23/2012,7.977
12/24/2012,4.983
12/25/2012,4.909
12/26/2012,7.65
12/27/2012,13.1460001
12/28/2012,11.157
12/29/2012,10.8
12/30/2012,11.112
12/31/2012,10.033
1/1/2013,10.8
1/2/2013,13.2999999
1/3/2013,10.074
1/4/2013,9.857
1/5/2013,11.171
1/6/2013,10.293
1/7/2013,9.439
1/8/2013,11.6400001
1/9/2013,15.259
1/10/2013,10.74
1/11/2013,10.9789999
1/12/2013,10.5859999
1/13/2013,10.36
1/14/2013,12.273
1/15/2013,9.83
1/16/2013,14.4080001
1/17/2013,9.857
1/18/2013,16.9220001
1/19/2013,15.742
1/20/2013,11.53
1/21/2013,12.4560001
1/22/2013,10.8700001
1/23/2013,10.99
1/24/2013,12.124
1/25/2013,11.26
1/26/2013,16.348
1/27/2013,11.466
1/28/2013,9.907
1/29/2013,9.886
1/30/2013,10.297
1/31/2013,9.2079999
2/1/2013,9.9529999
2/2/2013,15.097
2/3/2013,11.29
2/4/2013,8.798
2/5/2013,14.1459999
2/6/2013,14.222
2/7/2013,11.684
2/8/2013,9.635
2/9/2013,14.7460001
2/10/2013,15.871
2/11/2013,11.514
2/12/2013,10.958
2/13/2013,11.151
2/14/2013,10.042
2/15/2013,11.33
2/16/2013,10.807
2/17/2013,9.221
2/18/2013,9.563
2/19/2013,11.293
2/20/2013,10.941
2/21/2013,20.6960001
2/22/2013,24.0180002
2/23/2013,14.125
2/24/2013,19.751
2/25/2013,11.198
2/26/2013,11.1749999
2/27/2013,15.769
2/28/2013,32.6280002
3/1/2013,39.284
3/2/2013,26.292
3/3/2013,23.5800001
3/4/2013,25.4469999
3/5/2013,32.8559999
3/6/2013,16.637
3/7/2013,27.7180001
3/8/2013,18.876
3/9/2013,10.858
3/10/2013,19.191
3/11/2013,13.658
3/12/2013,16.135
3/13/2013,12.956
3/14/2013,12.286
3/15/2013,13.165
3/16/2013,12.652
3/17/2013,17.3830001
3/18/2013,13.2949998
3/19/2013,12.519
3/20/2013,14.014
3/21/2013,10.727
3/22/2013,13.524
3/23/2013,25.599
3/24/2013,15.535
3/25/2013,5.781
3/26/2013,4.985
3/27/2013,5.097
3/28/2013,4.929
3/29/2013,4.841
3/30/2013,4.931
3/31/2013,4.933
4/1/2013,4.95
4/2/2013,12.014
4/3/2013,11.421
4/4/2013,16.502
4/5/2013,14.555
4/6/2013,16.6790001
4/7/2013,13.424
4/8/2013,14.1380002
4/9/2013,13.627
4/10/2013,13.9340001
4/11/2013,13.214
4/12/2013,12.563
4/13/2013,25.958
4/14/2013,12.6310001
4/15/2013,13.937
4/16/2013,10.94
4/17/2013,9.049
4/18/2013,10.346
4/19/2013,10.303
4/20/2013,17.925
4/21/2013,13.58
4/22/2013,8.969
4/23/2013,8.225
4/24/2013,8.539
4/25/2013,9.481
4/26/2013,9.984
4/27/2013,9.625
4/28/2013,9.864
4/29/2013,7.571
4/30/2013,8.64
5/1/2013,8.069
5/2/2013,9.343
5/3/2013,8.1089999
5/4/2013,9.351
5/5/2013,8.826
5/6/2013,7.418
5/7/2013,7.607
5/8/2013,8.576
5/9/2013,8.391
5/10/2013,12.3040001
5/11/2013,10.111
5/12/2013,12.405
5/13/2013,8.2400001
5/14/2013,9.752
5/15/2013,8.34
5/16/2013,9.214
5/17/2013,9.638
5/18/2013,9.714
5/19/2013,10.747
5/20/2013,9.356
5/21/2013,10.899
5/22/2013,10.492
5/23/2013,9.423
5/24/2013,10.342
5/25/2013,9.339
5/26/2013,11.917
5/27/2013,11.161
5/28/2013,12.182
5/29/2013,11.099
5/30/2013,11.431
5/31/2013,10.098
6/1/2013,12.555
6/2/2013,12.082
6/3/2013,10.694
6/4/2013,11.065
6/5/2013,9.62
6/6/2013,9.343
6/7/2013,11.9
6/8/2013,9.598
6/9/2013,9.234
6/10/2013,8.24
6/11/2013,9.321
6/12/2013,9.375
6/13/2013,8.629
6/14/2013,8.761
6/15/2013,13.881
6/16/2013,11.62
6/17/2013,12.253
6/18/2013,10.138
6/19/2013,11.27
6/20/2013,8.717
6/21/2013,10.748
